state,year,p_jan,p_feb,p_mar,p_apr,p_may,p_jun,p_jul,p_aug,p_sep,p_oct,p_nov,p_dec
IA,1988,88.0,0.76,0.47,0.79,1.91,1.77,1.72,2.26,4.13,3.61,0.65,2.61
IA,1989,89.0,0.92,0.54,0.9,2.09,2.57,3.36,3.34,3.58,4.84,1.92,0.27
IA,1990,90.0,0.88,0.67,4.3,2.26,5.73,7.96,6.36,4.32,1.39,1.88,1.65
IA,1991,91.0,0.77,0.3,4.19,5.83,5.19,4.14,2.32,3.45,2.79,2.92,4.36
IA,1992,92.0,1.0,1.29,2.21,3.6,1.75,1.89,8.55,2.55,5.58,1.63,4.38
IA,1993,93.0,1.18,1.15,2.75,3.65,5.6,7.99,10.45,8.25,3.69,1.31,1.09
IA,1994,94.0,1.06,1.18,0.2,2.41,2.05,6.23,3.88,3.62,3.58,1.93,2.21
IA,1995,95.0,0.82,0.32,2.57,4.9,5.88,3.73,3.45,3.52,2.96,2.0,1.7
IA,1996,96.0,1.84,0.27,1.38,1.63,7.34,5.07,3.19,3.79,2.87,2.74,2.65
IA,1997,97.0,0.96,1.68,1.32,2.63,4.03,4.38,2.95,2.76,3.11,3.37,1.02
IA,1998,98.0,1.05,1.63,3.65,3.94,4.3,7.91,3.16,5.01,2.06,4.83,1.61
IA,1999,99.0,1.29,0.91,0.98,6.26,4.89,5.29,5.21,3.11,1.84,0.77,1.02
IA,2000,0.0,0.73,1.37,1.0,2.03,3.6,6.56,4.09,2.62,2.11,1.8,2.15
IA,2001,1.0,1.42,2.16,1.3,3.6,7.04,4.07,3.12,2.97,4.07,2.46,1.55
IA,2002,2.0,0.4,0.89,1.16,3.62,4.1,3.51,4.24,5.81,1.71,3.58,0.22
IA,2003,3.0,0.39,0.82,1.15,3.25,4.61,4.48,4.11,1.03,3.11,1.0,3.46
IA,2004,4.0,0.96,1.17,3.75,1.85,7.74,3.55,4.33,4.56,2.66,2.05,2.21
IA,2005,5.0,1.31,1.52,1.05,3.45,3.85,5.25,3.27,3.02,3.29,0.91,1.75
IA,2006,6.0,0.99,0.32,3.17,4.3,2.44,2.49,3.22,5.75,4.22,1.64,1.77
IA,2007,7.0,0.91,1.68,2.86,4.56,5.35,3.38,3.38,9.69,2.87,5.1,0.18
IA,2008,8.0,0.68,1.71,1.26,5.86,5.67,8.88,5.88,1.96,4.16,3.25,1.72
IA,2009,9.0,0.68,0.79,2.97,3.6,3.64,5.29,4.62,5.75,1.73,6.35,1.19
IA,2010,10.0,1.3,0.96,1.72,3.7,4.19,10.28,7.89,4.83,5.4,0.91,1.64
IA,2011,11.0,0.94,1.39,1.5,3.81,5.0,6.19,3.4,3.02,1.68,0.74,2.08
IA,2012,12.0,0.57,1.68,1.91,3.9,3.51,2.81,1.17,2.88,1.62,2.98,1.05
IA,2013,13.0,0.95,1.27,2.09,6.43,8.65,4.89,1.74,1.49,1.94,2.78,1.59
IA,2014,14.0,0.43,1.5,0.81,4.65,3.04,9.66,3.3,5.92,4.35,3.17,0.76
IA,2015,15.0,0.52,1.11,0.56,3.37,5.06,6.38,5.5,5.28,4.18,1.76,4.08
