state,year,t_jan,t_feb,t_mar,t_apr,t_may,t_jun,t_jul,t_aug,t_sep,t_oct,t_nov,t_dec
IA,1988,15.6,18.7,37.8,48.5,65.2,73.8,75.5,75.8,64.7,46.0,37.4,25.4
IA,1989,29.1,14.1,33.7,49.3,59.1,67.7,75.0,71.2,60.5,52.2,33.5,13.8
IA,1990,29.7,27.8,39.6,48.1,56.4,70.3,72.3,71.7,66.2,50.4,41.2,19.8
IA,1991,13.4,29.2,39.2,51.4,64.2,73.0,73.6,71.6,62.4,49.7,28.2,27.1
IA,1992,27.2,32.0,39.0,46.0,60.1,67.4,68.3,65.7,60.8,50.6,33.0,24.0
IA,1993,17.6,18.9,31.0,45.0,59.2,66.9,71.9,71.6,57.4,49.2,33.8,25.5
IA,1994,10.5,17.2,38.0,49.2,60.6,70.9,70.3,68.6,64.3,53.5,39.4,27.0
IA,1995,18.3,25.4,37.0,44.8,56.5,69.9,73.9,76.2,60.2,50.7,30.3,23.9
IA,1996,15.8,23.2,29.9,45.7,56.4,69.5,70.5,70.0,60.7,51.7,29.0,19.6
IA,1997,14.6,25.0,37.2,44.3,54.2,70.4,73.4,69.5,64.2,52.1,32.9,27.4
IA,1998,23.5,34.8,32.8,49.7,65.0,67.1,73.8,72.9,68.2,53.1,40.7,29.4
IA,1999,17.0,32.9,36.3,50.0,60.5,68.9,76.8,70.0,61.3,50.9,44.3,27.0
IA,2000,21.6,32.5,43.1,49.4,62.8,67.7,72.2,72.7,64.6,54.8,32.2,10.0
IA,2001,20.8,18.1,30.2,52.7,60.9,68.3,75.1,72.5,61.2,50.2,48.0,30.7
IA,2002,28.6,29.8,31.0,48.9,56.8,72.4,76.5,70.9,65.3,46.2,34.7,28.9
IA,2003,19.1,20.4,35.1,50.4,57.9,67.3,73.0,74.1,61.1,52.4,35.9,28.2
IA,2004,17.7,22.7,40.8,51.1,60.7,66.9,70.5,66.2,66.4,51.9,40.6,26.6
IA,2005,18.9,31.2,36.0,53.4,57.8,72.6,74.7,71.5,67.6,52.6,39.6,19.5
IA,2006,32.4,25.1,36.5,53.8,60.6,70.0,75.9,72.1,60.0,47.9,39.3,31.1
IA,2007,21.6,15.5,41.8,46.7,64.7,70.4,73.7,74.2,64.7,55.9,37.2,20.3
IA,2008,16.6,17.0,32.6,46.0,57.4,69.3,73.1,69.9,63.5,50.7,37.3,17.6
