state,year,yield_bu_acre,trend,jun_shortfall,temp_JA,prec_JA,prec_JA_sq,dummy_2003,acres_harvested,harvest_ha
IA,1988,30.0,1,3.3086486486486493,75.65,3.195,10.208025,0,8100000,3277953.7021439997
IA,1989,37.6,2,0.0,73.1,3.46,11.9716,0,8280000,3350797.1177471997
IA,1990,39.7,3,0.0,72.0,5.34,28.5156,0,7900000,3197016.573696
IA,1991,39.1,4,0.0,72.6,2.885,8.323224999999999,0,8630000,3492437.0925311996
IA,1992,42.6,5,3.1386486486486493,67.0,5.550000000000001,30.80250000000001,0,8170000,3306281.6971008
IA,1993,33.2,6,0.0,71.75,9.35,87.4225,0,8300000,3358890.830592
IA,1994,48.5,7,0.0,69.44999999999999,3.75,14.0625,0,8770000,3549093.0824447996
IA,1995,43.6,8,0.0,75.05000000000001,3.4850000000000003,12.145225000000002,0,9260000,3747389.0471424
IA,1996,44.2,9,0.0,70.25,3.49,12.180100000000001,0,9450000,3824279.3191679996
IA,1997,47.8,10,0.0,71.45,2.855,8.151025,0,10400000,4208730.679296
IA,1998,47.4,11,0.0,73.35,4.085,16.687224999999998,0,10350000,4188496.397184
IA,1999,47.1,12,0.0,73.4,4.16,17.305600000000002,0,10750000,4350370.65408
IA,2000,45.3,13,0.0,72.45,3.355,11.256025,0,10680000,4322042.6591232
IA,2001,43.0,14,0.0,73.8,3.045,9.272025,0,10920000,4419167.2132608
IA,2002,46.2,15,0.0,73.7,5.025,25.250625000000003,0,10400000,4208730.679296
IA,2003,37.1,16,0.0,73.55,2.5700000000000003,6.6049000000000015,1,10550000,4269433.525632
IA,2004,45.4,17,0.0,68.35,4.445,19.758025000000004,0,10150000,4107559.2687359997
IA,2005,49.1,18,0.0,73.1,3.145,9.891025,0,10000000,4046856.4223999996
IA,2006,48.9,19,2.538648648648649,74.0,4.485,20.115225000000002,0,10100000,4087324.9866239997
IA,2007,51.4,20,0.0,73.95,6.535,42.706225,0,8630000,3492437.0925311996
IA,2008,46.5,21,0.0,71.5,3.92,15.366399999999999,0,9670000,3913310.1604608
IA,2009,51.6,22,0.0,68.15,5.1850000000000005,26.884225000000004,0,9530000,3856654.1705472
IA,2010,51.6,23,0.0,74.5,6.359999999999999,40.44959999999999,0,9730000,3937591.2989951996
IA,2011,51.1,24,0.0,75.0,3.21,10.3041,0,9230000,3735248.4778751996
IA,2012,42.8,25,2.218648648648649,75.3,2.025,4.100625,0,56210000,22747379.950310398
IA,2013,44.875,26,0.0,72.1,1.615,2.608225,0,37340000,15110961.8812416
IA,2014,51.0,27,0.0,70.0,4.609999999999999,21.252099999999995,0,59670000,24147592.2724608
IA,2015,54.1,28,0.0,70.45,5.390000000000001,29.052100000000006,0,59200000,23957390.020608
IA,2016,58.4,29,0.0,72.4,6.029999999999999,36.360899999999994,0,57390000,23224909.0081536
IA,2017,56.4,30,0.0,71.25,3.385,11.458224999999999,0,59690000,24155685.9853056
IA,2018,58.8,31,0.0,72.44999999999999,4.905,24.059025000000002,0,59230000,23969530.5898752
IA,2019,54.0,32,0.0,72.35,3.455,11.937025,0,54670000,22124164.061260797
IA,2020,55.2,33,0.0,73.6,2.08,4.3264000000000005,0,55970000,22650255.3961728
IA,2021,60.2,34,0.0,73.15,4.33,18.7489,0,59730000,24171873.4109952
