year,yield_bu_acre,yield_t_ha,trend,jun_shortfall,temp_JA,prec_JA,prec_JA_sq,dummy_2003,harvest_total_acres,harvest_total_ha
1988,26.380000000000003,1.7740832100245856,1,2.2792674586489015,74.54404873477039,2.2840276476101216,5.216782295047426,0,42680000.0,17271983.2108032
1989,32.4,2.1789346476420226,2,0.21453626288158664,71.6207059352518,3.6542614658273385,13.353626860630568,0,44480000.0,18000417.3668352
1990,33.0,2.219285289265023,3,0.0,71.87152317880795,5.104273888363292,26.053611927427323,0,42280000.0,17110108.9539072
1991,32.7,2.199109968453523,4,0.0,73.94945591827668,2.7824405951587834,7.741975665587565,0,45030000.0,18222994.4700672
1992,36.58,2.4600441176155923,5,2.411264370600991,68.76372702823846,4.954557373375169,24.547638766066257,0,44620000.0,18057073.356748797
1993,33.36,2.2434956742388237,6,0.20225140234574196,70.93277726645192,6.841411642890015,46.80491326747105,0,43460000.0,17587638.011750396
1994,39.839999999999996,2.679282603767228,7,1.4568013533550497,71.98055496716798,4.063790510485067,16.514393313108478,0,47210000.0,19105209.1701504
1995,35.92,2.415658411830292,8,0.0,72.39912047453467,3.6363673552873803,13.223167542599736,0,48890000.0,19785081.049113598
1996,36.9,2.481564459814526,9,0.0,70.77470002033759,4.158178767541184,17.29045066283032,0,49170000.0,19898393.0289408
1997,39.14,2.632206855207061,10,0.0,71.82839332583427,3.584876265466816,12.851337838707305,0,53340000.0,21585932.1570816
1998,39.260000000000005,2.6402769835316615,11,0.0,71.56955890361228,5.537898892721002,30.6683241460005,0,55090000.0,22294132.031001598
1999,37.480000000000004,2.5205700800500934,12,0.1612518523745677,73.44960835509137,4.079303742384682,16.64071902263367,0,57450000.0,23249190.146688003
2000,39.0,2.6227917054950276,13,0.0,70.64573670444638,4.870049694856147,23.717384030368446,0,57350000.0,23208721.582464
2001,39.02,2.6241367268824614,14,0.0,72.05988719876945,3.925916082720903,15.41281708856664,0,58510000.0,23678156.927462395
2002,37.2,2.5017397806260266,15,0.0,74.80001733102253,3.27096533795494,10.699214242102675,0,57700000.0,23350361.557247996
2003,35.5,2.387412962694192,16,0.0,70.51272663263512,4.129162999471924,17.049987076207977,1,56810000.0,22990191.335654397
2004,40.88,2.7492237159137622,17,0.0,69.45827134254341,3.9957660290471133,15.966146158886936,0,56460000.0,22848551.3608704
2005,41.14,2.7667089939503957,18,1.05784546899841,73.89579185520363,3.5468108597285064,12.579867274688066,0,55250000.0,22358881.73376
2006,42.019999999999996,2.8258899349974627,19,0.8550571420574873,73.39212115982049,3.272052122885744,10.706325094881105,0,57940000.0,23447486.1113856
2007,41.46,2.7882293361493296,20,0.5183238525718736,72.26451187335094,3.288587375685001,10.814806927514763,0,49270000.0,19938861.593164798
2008,39.8,2.6765925609923613,21,0.0,71.82553651938683,5.502605049594228,30.2786623318199,0,55450000.0,22439818.862208
2009,42.739999999999995,2.874310704945063,22,0.23304821655678132,69.06834022445364,4.438417011222682,19.69954556551088,0,50790000.0,20553983.7693696
2010,44.1,2.9657721592905313,23,0.0,73.29279446177846,6.3606679017160666,40.45809615592107,0,51280000.0,20752279.7340672
2011,41.6,2.7976444858613627,24,0.0,74.04193386773547,4.288922845691383,18.394859176293473,0,49900000.0,20193813.547776
2012,37.7,2.5353653153118603,25,0.3620821756643252,75.52772888288354,2.1541021801847866,4.640156202676851,0,273830000.0,110815069.41457918
2013,42.7,2.871620662170197,26,0.0,70.95733133111659,3.97167006328435,15.774163091589111,0,186460000.0,75457684.8520704
2014,46.82,3.1486950679814663,27,0.0,70.02289089622165,5.092463514105634,25.933184642497103,0,296690000.0,120066183.19618557
2015,47.5,3.1944257951542,28,0.0,71.36232301866193,6.085110368121183,37.028568192215914,0,293110000.0,118617408.5969664
2016,51.06,3.4338396021173363,29,0.0,73.24732653821407,4.460724154278553,19.898059980564117,0,295310000.0,119507717.0098944
2017,49.519999999999996,3.330272955284968,30,0.0,72.58901523656776,3.7454569366479546,14.02844766428428,0,311750000.0,126160748.96832001
2018,52.04,3.4997456501015702,31,0.0,73.29025871257387,4.781373663641355,22.86153411136315,0,309610000.0,125294721.6939264
2019,47.519999999999996,3.1957708165416334,32,0.0,72.23726218352114,4.3348525537831115,18.790946663039964,0,273320000.0,110608679.7370368
2020,51.760000000000005,3.4809153506775035,33,0.0,74.0568342090708,4.120770015210177,16.980745518255286,0,289280000.0,117067462.58718719
2021,51.0,3.429804537955036,34,0.25090507811970986,73.3635710706531,4.073505929513947,16.59345055778528,0,299350000.0,121142647.00454399
2022,50.4,3.3894538963320358,35,0.0,73.24904713484435,3.5125674877816775,12.338130356220885,0,304870000.0,123376511.74970879
2023,50.22,3.3773487038451355,36,0.2415378370930865,71.79178664921466,3.269765431248278,10.691365975386237,0,290320000.0,117488335.65511678
2024,52.38000000000001,3.522611013687938,37,0.0,72.4671904252474,4.537818768387269,20.59179917472775,0,299120000.0,121049569.3068288
