state,year,acres_harvested,harvest_ha
IA,1988,8100000,3277953.7021439997
IA,1989,8280000,3350797.1177471997
IA,1990,7900000,3197016.573696
IA,1991,8630000,3492437.0925311996
IA,1992,8170000,3306281.6971008
IA,1993,8300000,3358890.830592
IA,1994,8770000,3549093.0824447996
IA,1995,9260000,3747389.0471424
IA,1996,9450000,3824279.3191679996
IA,1997,10400000,4208730.679296
IA,1998,10350000,4188496.397184
IA,1999,10750000,4350370.65408
IA,2000,10680000,4322042.6591232
IA,2001,10920000,4419167.2132608
IA,2002,10400000,4208730.679296
IA,2003,10550000,4269433.525632
IA,2004,10150000,4107559.2687359997
IA,2005,10000000,4046856.4223999996
IA,2006,10100000,4087324.9866239997
IA,2007,8630000,3492437.0925311996
IA,2008,9670000,3913310.1604608
IA,2009,9530000,3856654.1705472
IA,2010,9730000,3937591.2989951996
IA,2011,9230000,3735248.4778751996
IA,2012,56210000,22747379.950310398
IA,2013,37340000,15110961.8812416
IA,2014,59670000,24147592.2724608
IA,2015,59200000,23957390.020608
IA,2016,57390000,23224909.0081536
IA,2017,59690000,24155685.9853056
IA,2018,59230000,23969530.5898752
IA,2019,54670000,22124164.061260797
IA,2020,55970000,22650255.3961728
IA,2021,59730000,24171873.4109952
IA,2022,60530000,24495621.924787197
IA,2023,58730000,23767187.768755198
IA,2024,59660000,24143545.416038398
IA,2025,37520000,15183805.2968448
IL,1988,8700000,3520765.087488
IL,1989,8850000,3581467.933824
IL,1990,9100000,3682639.3443839997
IL,1991,9100000,3682639.3443839997
IL,1992,9430000,3816185.6063232
IL,1993,9000000,3642170.7801599996
IL,1994,9430000,3816185.6063232
IL,1995,9700000,3925450.729728
IL,1996,9850000,3986153.576064
IL,1997,9950000,4026622.140288
IL,1998,10550000,4269433.525632
IL,1999,10550000,4269433.525632
IL,2000,10450000,4228964.9614079995
IL,2001,10620000,4297761.520588799
IL,2002,10550000,4269433.525632
IL,2003,10260000,4152074.6893824
IL,2004,9900000,4006387.858176
IL,2005,9450000,3824279.3191679996
IL,2006,10050000,4067090.7045119996
IL,2007,8280000,3350797.1177471997
IL,2008,9120000,3690733.0572288
IL,2009,9350000,3783810.754944
IL,2010,9050000,3662405.0622719997
IL,2011,8910000,3605749.0723583996
IL,2012,51800000,20962716.268032
IL,2013,37580000,15208086.4353792
IL,2014,59620000,24127357.990348797
IL,2015,59620000,24127357.990348797
IL,2016,59670000,24147592.2724608
IL,2017,62650000,25353555.486336
IL,2018,64550000,26122458.206591997
IL,2019,59860000,24224482.5444864
IL,2020,61800000,25009572.690431997
IL,2021,63460000,25681350.8565504
