state_code,division,year,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
1,0,1895,95.0,7.52,2.66,7.62,3.58,3.78,5.79,4.51,5.13,1.6,2.22,1.76
1,0,1896,96.0,4.33,6.16,5.44,3.54,3.24,5.44,4.99,2.82,1.8,2.27,4.42
1,0,1897,97.0,3.73,6.32,10.66,4.1,1.6,1.97,4.72,6.07,0.75,1.26,1.8
1,0,1898,98.0,3.92,2.11,3.12,4.49,0.95,3.86,6.05,7.2,3.46,3.84,5.99
1,0,1899,99.0,6.18,6.4,6.31,2.45,2.03,2.91,6.73,3.86,0.53,2.64,2.97
1,0,1900,0.0,3.37,8.75,5.96,8.69,2.56,10.38,4.74,3.12,4.06,5.79,3.33
1,0,1901,1.0,4.97,4.45,6.34,5.19,5.3,3.25,3.49,9.12,4.49,1.22,1.78
1,0,1902,2.0,3.7,6.93,9.37,2.36,2.52,1.35,2.87,3.77,4.22,3.63,4.11
1,0,1903,3.0,3.62,10.61,5.62,2.73,6.25,4.75,4.39,4.57,1.58,1.95,2.12
1,0,1904,4.0,4.24,4.13,3.78,2.32,3.05,3.22,5.01,5.81,1.23,0.26,3.06
1,0,1905,5.0,5.62,7.54,3.67,3.84,5.34,5.01,4.48,5.58,2.29,4.25,1.68
1,0,1906,6.0,4.82,2.45,8.66,1.08,5.06,3.74,7.79,3.76,8.92,3.52,2.32
1,0,1907,7.0,2.21,4.51,3.18,6.66,8.21,3.13,5.23,3.76,5.98,1.42,6.36
1,0,1908,8.0,4.19,6.87,4.7,6.3,5.5,3.34,5.29,3.64,2.23,1.72,1.66
1,0,1909,9.0,2.05,7.59,8.89,6.18,6.34,7.92,4.91,3.54,2.95,1.95,1.26
1,0,1910,10.0,3.53,5.47,1.16,3.53,3.85,7.16,7.26,2.95,2.35,3.41,2.19
1,0,1911,11.0,4.49,3.26,2.5,7.65,2.86,3.93,5.93,5.3,2.56,3.19,4.54
1,0,1912,12.0,5.93,4.83,9.55,10.08,3.64,5.03,5.22,6.23,4.55,2.76,2.11
1,0,1913,13.0,6.25,5.7,9.22,2.5,3.48,3.72,5.22,2.6,6.61,2.26,1.3
1,0,1914,14.0,2.14,4.24,3.63,3.96,1.25,2.76,4.18,6.71,4.7,2.84,4.01
1,0,1915,15.0,6.02,4.93,3.23,0.47,6.19,3.8,5.19,5.03,4.11,4.86,3.26
1,0,1916,16.0,4.02,4.01,2.94,2.86,4.69,3.49,17.59,3.49,2.16,1.77,2.8
1,0,1917,17.0,6.63,5.52,9.13,3.64,2.44,3.3,6.1,5.84,6.1,1.45,1.47
1,0,1918,18.0,7.28,2.33,0.85,7.47,2.63,4.11,3.86,3.6,4.11,8.37,5.16
1,0,1919,19.0,5.67,7.03,7.25,3.3,6.44,4.36,6.91,7.37,0.92,4.66,5.03
1,0,1920,20.0,6.54,4.15,7.44,9.34,5.06,4.54,5.13,6.85,3.03,1.03,3.09
1,0,1921,21.0,3.22,5.39,5.01,6.85,2.1,2.02,5.05,4.16,2.54,2.24,3.42
1,0,1922,22.0,6.93,6.03,10.14,4.38,6.76,3.88,4.24,3.01,1.69,2.35,1.94
1,0,1923,23.0,4.27,5.84,6.49,5.93,8.85,3.95,5.2,6.55,1.22,2.45,5.2
1,0,1924,24.0,6.7,4.65,3.31,5.7,4.56,4.99,3.75,2.99,3.27,0.3,0.26
1,0,1925,25.0,10.08,3.44,3.02,1.53,2.45,2.36,4.9,1.81,2.73,6.03,4.59
1,0,1926,26.0,7.96,4.39,6.39,2.35,3.16,4.78,5.67,6.97,4.2,2.34,5.07
1,0,1927,27.0,1.27,6.43,5.27,2.29,2.8,5.4,4.17,3.72,1.41,2.21,3.74
1,0,1928,28.0,1.52,3.63,6.19,10.12,3.77,10.52,5.19,4.56,2.91,3.45,2.47
1,0,1929,29.0,5.82,8.87,14.81,4.5,5.85,4.76,3.65,2.07,5.64,5.17,10.2
1,0,1930,30.0,4.33,2.4,5.58,1.47,4.65,1.76,3.71,3.46,6.03,2.64,6.94
1,0,1931,31.0,3.2,3.48,3.87,3.21,3.43,1.66,5.85,4.49,1.21,1.81,2.13
1,0,1932,32.0,7.34,5.53,4.55,3.27,4.92,4.82,4.99,5.28,5.01,6.71,3.91
1,0,1933,33.0,2.98,6.1,6.18,6.24,2.78,3.19,7.18,3.96,2.27,1.79,1.26
