index,value,source,state,n_obs,r2,y2020_actual,y2020_forecast,y2020_error,Intercept,trend,jun_shortfall,temp_JA,prec_JA,I(prec_JA ** 2),dummy_2003,r2_adj,rmse,gex_JA_min
n_obs,26.0,national_A,,,,,,,,,,,,,,,,
r2,0.8369734764253451,national_A,,,,,,,,,,,,,,,,
r2_adj,0.7962168455316814,national_A,,,,,,,,,,,,,,,,
rmse,2.1313111253830455,national_A,,,,,,,,,,,,,,,,
n_obs,32.0,national_B,,,,,,,,,,,,,,,,
r2,0.9090435697743018,national_B,,,,,,,,,,,,,,,,
r2_adj,0.8872140265201343,national_B,,,,,,,,,,,,,,,,
rmse,2.2098630820915166,national_B,,,,,,,,,,,,,,,,
n_obs,32.0,national_Bp,,,,,,,,,,,,,,,,
r2,0.9487948208284793,national_Bp,,,,,,,,,,,,,,,,
r2_adj,0.9338599769034525,national_Bp,,,,,,,,,,,,,,,,
rmse,1.6922713096311024,national_Bp,,,,,,,,,,,,,,,,
,,state_results_baseline,IA,32.0,0.8672093564630532,55.2,51.20834480886486,-3.9916551911351448,,,,,,,,,,
,,state_results_baseline,IL,32.0,0.8223257186229923,60.8,55.36351475136741,-5.436485248632586,,,,,,,,,,
,,state_results_baseline,IN,32.0,0.8161858194455565,59.6,54.128434683439785,-5.471565316560216,,,,,,,,,,
,,state_results_baseline,MN,32.0,0.6835021502984528,51.2,49.55596985909853,-1.6440301409014708,,,,,,,,,,
,,state_results_baseline,MO,32.0,0.8489497571005334,50.8,45.66058071031759,-5.139419289682408,,,,,,,,,,
,,state_results_baseline,NE,32.0,0.9467366724856745,59.6,58.12385514813201,-1.4761448518679927,,,,,,,,,,
,,state_results_baseline,OH,32.0,0.837350289620016,55.8,51.18373931961083,-4.616260680389168,,,,,,,,,,
,,state_coefs_baseline,,,,,,,35.881240761532325,0.5133567983177534,-1.3484877975520906,-0.1720786709135278,6.617986851592903,-0.6273328331247505,-7.203318868014552,,,
,,state_coefs_baseline,,,,,,,51.71890120374536,0.5688577664338506,-1.236954175152245,-0.3180521735818771,2.459911583786038,-0.03587204846725367,-6.530733281259305,,,
,,state_coefs_baseline,,,,,,,22.667998000068877,0.49396438787683916,-1.7483495332562757,0.051162147702887406,3.490173232863093,-0.15471998452415736,-9.066122611502198,,,
,,state_coefs_baseline,,,,,,,-24.780975906401437,0.40649524233524337,-2.8622981750823913,0.4699264733102013,12.949095332872677,-1.4796467900646482,-1.3384256121866258,,,
,,state_coefs_baseline,,,,,,,60.06276339054634,0.4986434764745781,-1.06014969304209,-0.5591738611987322,4.083478462375009,-0.302144809650587,-4.354370279597486,,,
,,state_coefs_baseline,,,,,,,34.78851153330203,0.7999463952937889,-1.1052304632510221,-0.3022285908982232,11.326726222202286,-1.4210149944312558,2.7537155283111616,,,
,,state_coefs_baseline,,,,,,,6.425673318542522,0.501371997843643,-1.4298459358119633,-0.016469928570041592,13.25827862931358,-1.3646289349145775,-3.64037003873692,,,
,,state_results_aug,IA,32.0,0.9278301796691114,55.2,52.15125322806017,-3.0487467719398325,,,,,,,,0.9067806487392689,2.066173783439682,
,,state_results_aug,IL,32.0,0.869674174895835,60.8,56.51254392194856,-4.287456078051434,,,,,,,,0.8316624759071202,3.076858461818075,
,,state_results_aug,IN,32.0,0.8825078827499077,59.6,55.42351405472849,-4.176485945271509,,,,,,,,0.848239348551964,2.494583215090526,
,,state_results_aug,MN,32.0,0.864601925997284,51.2,50.00823886822889,-1.1917611317711163,,,,,,,,0.8251108210798253,2.3585426962231,
,,state_results_aug,MO,32.0,0.9117564763548247,50.8,47.73048687631568,-3.0695131236843167,,,,,,,,0.8860187819583152,2.1542075402084278,
,,state_results_aug,NE,32.0,0.9651964979182736,59.6,58.35037065752626,-1.2496293424737388,,,,,,,,0.95504547647777,1.816030538701609,
,,state_results_aug,OH,32.0,0.9298104075775516,55.8,51.87104052247724,-3.92895947752276,,,,,,,,0.9093384431210042,1.9736755778178383,
,,state_coefs_aug,,,,,,,12.117334158452252,0.44164415351990904,0.35314692575140416,0.19296747686515414,0.5602067515800861,-0.042330444734531625,-3.6016399947296094,,,0.41100656395953905
,,state_coefs_aug,,,,,,,21.66428486924741,0.5550998641386226,-0.2257432147561511,0.054141268240648355,0.929050465480799,-0.01812407132663796,-7.255325101433627,,,0.3128699144151059
,,state_coefs_aug,,,,,,,6.281874999095436,0.4870673154700223,-0.12576922912934396,0.25042402074983494,1.4672751585497643,-0.03343500225250229,-7.024709422322694,,,0.3068794459966333
,,state_coefs_aug,,,,,,,-3.979478673489382,0.22081929160315356,-1.6548993394694946,0.26634759459251267,6.099782690233894,-0.6879633702078825,1.0465258158320907,,,0.3665674939126013
,,state_coefs_aug,,,,,,,33.55685631614679,0.42737197147081424,-0.1755347819191675,-0.2233846442046623,2.7374114692148304,-0.18292471729170412,-2.2477192318772143,,,0.2783837695478373
,,state_coefs_aug,,,,,,,7.800592471109212,0.6942543520095088,-0.3172457773572841,0.10551364561966503,7.540714818660257,-0.9785807072927204,2.013834493827531,,,0.2117465548469794
,,state_coefs_aug,,,,,,,-5.313240668482308,0.5087723383756143,-0.3172015439458331,0.22872010261131948,6.840842740395928,-0.709728671368353,-3.200695294618093,,,0.34248599350236036
